1,   the,a,22038615
2,   be,v,12545825
3,   and,c,10741073
4,   of,i,10343885
5,   a,a,10144200
6,   in,i,6996437
7,   to,t,6332195
8,   have,v,4303955
9,   to,i,3856916
10,   it,p,3872477
11,   I,p,3978265
12,   that,c,3430996
13,   for,i,3281454
14,   you,p,3081151
15,   he,p,2909254
16,   with,i,2683014
17,   on,i,2485306
18,   do,v,2573587
19,   say,v,1915138
20,   this,d,1885366
21,   they,p,1865580
22,   at,i,1767638
23,   but,c,1776767
24,   we,p,1820935
25,   his,a,1801708
26,   from,i,1635914
27,   that,d,1712406
28,   not,x,1638830
29,   n't,x,1619007
30,   by,i,1490548
31,   she,p,1484869
32,   or,c,1379320
33,   as,c,1296879
34,   what,d,1181023
35,   go,v,1151045
36,   their,a,1083029
37,   can,v,1022775
38,   who,p,1018283
39,   get,v,992596
40,   if,c,933542
41,   would,v,925515
42,   her,a,969591
43,   all,d,892102
44,   my,a,919821
45,   make,v,857168
46,   about,i,874406
47,   know,v,892535
48,   will,v,824568
49,   as,i,829018
50,   up,r,795534
51,   one,m,768232
52,   time,n,764657
53,   there,e,784528
54,   year,n,769254
55,   so,r,756550
56,   think,v,772787
57,   when,c,678626
58,   which,d,685982
59,   them,p,677870
60,   some,d,674193
61,   me,p,709623
62,   people,n,691468
63,   take,v,670745
64,   out,r,678603
65,   into,i,668172
66,   just,r,677711
67,   see,v,663645
68,   him,p,677707
69,   your,a,659622
70,   come,v,628254
71,   could,v,617932
72,   now,r,605997
73,   than,c,579757
74,   like,i,568850
75,   other,j,547799
76,   how,r,538893
77,   then,r,543977
78,   its,a,539719
79,   our,a,525107
80,   two,m,511027
81,   more,r,517536
82,   these,d,513864
83,   want,v,514972
84,   way,n,470401
85,   look,v,491707
86,   first,m,463566
87,   also,r,464606
88,   new,j,435993
89,   because,c,438539
90,   day,n,432773
91,   more,d,420170
92,   use,v,420781
93,   no,a,402222
94,   man,n,409760
95,   find,v,395203
96,   here,r,412315
97,   thing,n,400724
98,   give,v,384503
99,   many,d,385348
100,   well,r,411776
101,   only,r,379574
102,   those,d,378007
103,   tell,v,388155
104,   one,p,369553
105,   very,r,391821
106,   her,p,397950
107,   even,r,361067
108,   back,r,367844
109,   any,d,348100
110,   good,j,353973
111,   woman,n,341422
112,   through,i,340921
113,   us,p,351088
114,   life,n,333085
115,   child,n,333849
116,   there,r,333433
117,   work,v,318210
118,   down,r,329409
119,   may,v,324569
120,   after,i,311902
121,   should,v,310265
122,   call,v,308050
123,   world,n,303506
124,   over,i,300349
125,   school,n,304183
126,   still,r,296953
127,   try,v,294023
128,   in,r,285035
129,   as,r,281483
130,   last,m,289843
131,   ask,v,284632
132,   need,v,276744
133,   too,r,280396
134,   feel,v,275214
135,   three,m,266744
136,   when,r,268219
137,   state,n,272193
138,   never,r,262584
139,   become,v,259102
140,   between,i,264158
141,   high,j,255936
142,   really,r,263414
143,   something,p,254910
144,   most,r,246360
145,   another,d,240646
146,   much,d,244507
147,   family,n,243267
148,   own,d,240452
149,   out,i,242443
150,   leave,v,240482
151,   put,v,237480
152,   old,j,236577
153,   while,c,234555
154,   mean,v,242198
155,   on,r,236980
156,   keep,v,231760
157,   student,n,255047
158,   why,r,235442
159,   let,v,240300
160,   great,j,225005
161,   same,d,222836
162,   big,j,227169
163,   group,n,229435
164,   begin,v,218617
165,   seem,v,219627
166,   country,n,223138
167,   help,v,216082
168,   talk,v,229429
169,   where,c,213744
170,   turn,v,221392
171,   problem,n,217728
172,   every,a,212739
173,   start,v,213952
174,   hand,n,225247
175,   might,v,209059
176,   American,j,214968
177,   show,v,208037
178,   part,n,207861
179,   about,r,208550
180,   against,i,204379
181,   place,n,202427
182,   over,r,208260
183,   such,d,207065
184,   again,r,206895
185,   few,d,197266
186,   case,n,200773
187,   most,d,197086
188,   week,n,199268
189,   company,n,203345
190,   where,r,194427
191,   system,n,200175
192,   each,d,196522
193,   right,r,205250
194,   program,n,195985
195,   hear,v,196070
196,   so,c,191893
197,   question,n,192070
198,   during,i,190729
199,   work,n,187533
200,   play,v,188328
201,   government,n,191314
202,   run,v,187325
203,   small,j,185463
204,   number,n,186005
205,   off,r,183854
206,   always,r,179474
207,   move,v,179388
208,   like,v,182341
209,   night,n,184511
210,   live,v,176144
211,   Mr,n,188555
212,   point,n,177481
213,   believe,v,178397
214,   hold,v,177368
215,   today,r,183724
216,   bring,v,174366
217,   happen,v,182714
218,   next,m,176306
219,   without,i,172448
220,   before,i,172769
221,   large,j,175611
222,   all,r,177317
223,   million,m,176895
224,   must,v,171043
225,   home,n,170527
226,   under,i,164766
227,   water,n,167666
